City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,lascano,-33.6667,-54.2,13.86,82,100,2.54,UY,1688946266
351,bochum,51.4833,7.2167,21.38,91,100,0.89,DE,1688946266
352,kayangel,8.0823,134.7173,28.4,77,48,3.19,PW,1688946267
353,buala,-8.145,159.5921,28.18,77,100,4.26,SB,1688946068
354,massawa,15.6097,39.45,32.32,69,100,2.11,ER,1688946267
355,greer,34.9387,-82.2271,29.36,79,100,5.14,US,1688946267
356,sulak,43.2734,47.5146,23.13,85,41,13.86,RU,1688946268
357,challapata,-18.9,-66.7667,7.17,15,28,1.31,BO,1688946268
358,robertsport,6.7533,-11.3686,25.09,89,100,5.21,LR,1688946268
359,laguna,38.421,-121.4238,29.74,43,0,6.17,US,1688946268
360,talara,-4.5772,-81.2719,24.42,83,0,5.66,PE,1688946026
361,fortuna,40.5982,-124.1573,21.63,72,20,5.66,US,1688946269
362,prince rupert,54.3161,-130.3201,13.05,83,100,3.09,CA,1688946269
